sample_id,manipulation_level,levenshtein_distance,cosine_similarity,pos_changes,word_freq_changes
1,3,1013,0.92439604,216,162
1,6,1013,0.92439604,216,162
1,9,1118,0.82992125,209,176
2,3,1194,0.9384155,248,188
2,6,1098,0.9479158,238,179
2,9,1317,0.9224717,248,204
3,3,1673,0.9065613,376,282
3,6,1716,0.89251995,358,295
3,9,1788,0.89917916,383,315
4,3,777,0.8722976,130,124
4,6,773,0.88832235,146,131
4,9,774,0.8501669,156,128
5,3,673,0.9348484,131,102
5,6,753,0.9259433,147,120
5,9,716,0.9302292,147,111
6,3,1704,0.87706465,363,286
6,6,1732,0.8792634,361,276
6,9,1949,0.9066749,388,308
7,3,1182,0.826624,255,192
7,6,1204,0.79875356,245,202
7,9,1198,0.8104997,237,192
8,3,573,0.8611711,126,103
8,6,552,0.8542154,112,93
8,9,524,0.81768876,107,89
9,3,691,0.08310879,134,118
9,6,682,0.092831545,123,113
9,9,710,0.14824536,121,122
10,3,1210,0.8609601,232,183
10,6,1278,0.85124004,257,208
10,9,1368,0.7823205,272,229
11,3,577,0.88689315,111,86
11,6,571,0.88690364,104,89
11,9,627,0.82923746,117,86
12,3,568,0.87028414,115,101
12,6,637,0.8671495,121,97
12,9,641,0.8531771,126,112
13,3,64,0.69899315,7,9
13,6,56,0.7515372,12,10
13,9,64,0.58402276,13,12
15,3,114,0.7522619,19,18
15,6,104,0.68857217,14,13
15,9,108,0.7376488,20,16
16,3,62,0.72269005,12,9
16,6,67,0.6910945,12,10
16,9,71,0.70559335,10,14
17,3,92,0.7593209,14,13
17,6,85,0.6385681,13,12
17,9,99,0.73078763,17,14
18,3,76,0.616272,10,11
18,6,71,0.68388176,8,7
18,9,77,0.63317823,13,14
19,3,88,0.54188496,12,13
19,6,91,0.66587687,13,12
19,9,77,0.7990756,9,8
20,3,67,0.66946614,11,11
20,6,54,0.8257542,8,8
20,9,68,0.62831354,11,12
21,3,715,0.90076214,146,123
21,6,749,0.8957871,156,116
21,9,762,0.8888893,152,121
22,3,145,0.8804445,18,21
22,6,174,0.78198147,29,27
22,9,179,0.8394598,32,28
23,3,783,0.9083075,192,129
23,6,847,0.8992907,184,143
23,9,850,0.89818907,187,138
24,3,102,0.7891671,34,19
24,6,106,0.81889534,32,20
24,9,118,0.7884094,26,20
25,3,1089,0.867151,176,135
25,6,1012,0.84948015,199,145
25,9,1128,0.79466134,187,142
